Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202224165;11/10/2022;;COM VÍTIMA;CANCELADA;IMBIRIBEIRA;RUA PAMPULHA;;AV MARECHAL MASCARENHAS DE MORAES;IMBIRIBEIRA;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202224173;11/10/2022;;SEM VÍTIMA;FINALIZADA;CASA AMARELA;AV NORTE MIGUEL ARRAES DE ALENCAR;;;CASA AMARELA;;;COLISÃO TRASEIRA;1;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;
202224208;12/10/2022;;SEM VÍTIMA;FINALIZADA;BOA VISTA;AV JOAO DE BARROS;;;BOA VISTA;;CIDADE;;1;0;0;0;0;0;0;0;1;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Não existe;;
202224249;12/10/2022;;COM VÍTIMA;FINALIZADA;SANCHO;RUA APRIGIO GUIMARAES;466;;SANCHO;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;"Placas ""Pare""";;Dupla;Não existe;;
202224267;12/10/2022;;SEM VÍTIMA;CANCELADA;BOA VIAGEM;RUA BALTAZAR PASSOS;;;BOA VIAGEM;;;COLISÃO TRANSVERSAL;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202224269;12/10/2022;;SEM VÍTIMA;CANCELADA;IBURA;AV DOIS RIOS;;;IBURA;;;ATROPELAMENTO DE ANIMAL;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202224274;12/10/2022;;COM VÍTIMA;FINALIZADA;FUNDÃO;RUA CORONEL URBANO RIBEIRO DE SENA;466;;FUNDÃO;;;COLISÃO LATERAL;0;2;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;R-6a;30 km/h;Dupla;Não existe;;
202224289;13/10/2022;;COM VÍTIMA;FINALIZADA;BEBERIBE;AV BEBERIBE;247;;BEBERIBE;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa contínua;;
202224297;13/10/2022;;SEM VÍTIMA;FINALIZADA;IPSEP;RUA FRANCISCO BARRETO;303;;IPSEP;;;COLISÃO TRASEIRA;1;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;
202224333;13/10/2022;;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;AV DANTAS BARRETO;;RUA SAO JOAO;SÃO JOSÉ;;;ATROPELAMENTO DE PESSOA;0;1;0;0;1;0;0;0;0;1;0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa;;
